Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize
student_analysis(numbers),1,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,0.8068687782805422,0.9928892676897388,70.12004760494642,74.80820771894697,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.016,0.0,0.015600099999999999,0.0,15.6001,0.0,2954.0,23832.0,4462.0,NaN,NaN,?,3.0
student_analysis(numbers),1,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,0.932530612244897,1.1149826117322608,99.99999999999991,99.99999999999987,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.016,0.0,0.015600099999999999,0.0,15.6001,0.0,2655.0,23832.0,4462.0,NaN,NaN,?,1.0
student_analysis(numbers),1,3,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,2.04044737895158,2.742913303173142,99.99999999999991,99.99999999999997,-2.0020367229303553E-8,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.031,0.0,0.015600099999999999,0.0,15.6001,0.0,2655.0,23832.0,4462.0,NaN,NaN,?,1.0
student_analysis(numbers),1,4,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,5.63079711884754,15.905734344410536,100.0,100.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2630.0,23832.0,4462.0,NaN,NaN,?,1.0
student_analysis(numbers),1,5,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,1.2498902027027032,1.436370638777828,100.0,100.0,9.18943920948268E-8,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2630.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),1,6,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,4.886243243243244,16.743740737520923,99.99999999999997,100.0,-1.4629981357119832E-8,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),1,7,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,0.9693817567567573,1.2240566294960766,100.0,100.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2630.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),1,8,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,1.7732048850574675,4.895853404380805,184.85390983810137,435.3660685150153,0.6495327859472166,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2954.0,23981.0,4313.0,NaN,NaN,?,3.0
student_analysis(numbers),1,9,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,0.9716317567567553,1.2126777663697295,100.00000000000011,100.00000000000007,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),1,10,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,1.0133006756756755,1.232871667891139,99.99999999999996,99.99999999999989,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.016,0.0,0.0,0.0,0.0,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),2,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,1.1735326130452193,1.4210008824324853,100.00000000000026,100.00000000000028,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.015,0.0,0.015600099999999999,0.0,15.6001,0.0,2630.0,23832.0,4462.0,NaN,NaN,?,1.0
student_analysis(numbers),2,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,1.1098255302120852,1.281876120780148,100.00000000000024,100.0000000000002,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23832.0,4462.0,NaN,NaN,?,1.0
student_analysis(numbers),2,3,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,1.2726906762705072,1.4633432622100813,100.0,100.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23832.0,4462.0,NaN,NaN,?,1.0
student_analysis(numbers),2,4,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,4.914939575830332,15.800645104293206,100.0,100.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23832.0,4462.0,NaN,NaN,?,1.0
student_analysis(numbers),2,5,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,1.0919222972972988,1.283916715094956,99.99999999999986,99.99999999999989,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),2,6,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,3.1281289062499997,6.613030211376022,325.41273999346276,605.1706672323456,-0.04899831689488697,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,3954.0,23981.0,4313.0,NaN,NaN,?,11.0
