Your Gender,Your age,Address type,Board of school education,Why did you choose your college?,Did you take any extra paid classes along with the course?,Your involvement in sports,Do you have internet access at home?,how do you plan your study time?,Which of the following do you use the most to study?,How would you rate your understanding in your subjects?,Do you want to take higher education?,How often do you use social media apps?,How often do you go out with friends?,"Last but not least,what is your CGPA(out of 10)?"
1,19,1,1,2,2,1,1,2,2,4,2,1,1,8.44
1,20,2,1,2,0,1,1,1,2,4,0,0,1,7.3
1,21,2,1,3,0,1,1,1,1,2,0,0,1,7.5
1,21,2,1,2,0,5,1,1,2,2,1,0,0,8.95
1,20,1,1,2,0,3,1,2,1,4,0,0,1,8.23
0,20,1,1,2,0,1,0,2,1,3,0,0,1,7.8
0,20,2,1,2,0,0,1,2,2,4,1,2,1,9
1,21,2,1,2,0,2,1,1,2,4,1,0,2,8.2
1,20,1,1,2,0,4,1,4,2,4,2,3,2,9.36
0,20,2,2,2,0,4,1,1,2,4,2,0,1,8.9
1,20,2,1,2,0,1,1,1,2,2,1,0,1,8.06
1,21,2,2,2,0,3,1,1,4,3,2,0,1,7.7
1,20,2,1,2,0,3,1,2,2,4,1,0,0,8
1,20,2,1,3,0,1,1,1,2,4,1,1,1,9.7
0,19,2,1,2,0,0,1,1,1,4,1,0,1,8.9
2,20,2,2,2,0,0,1,2,2,4,1,0,0,9.12
0,55,2,4,2,1,4,1,0,0,2,1,0,1,20
1,20,2,2,2,0,3,1,1,4,4,1,0,1,9.59
0,20,2,1,2,0,4,1,2,3,3,1,1,0,7.8
1,20,1,2,2,0,2,1,1,1,3,1,0,1,8.45
0,20,2,1,2,0,1,1,1,4,3,1,0,1,8.95
0,20,2,1,2,0,0,1,1,1,2,0,0,1,9.4
1,20,2,1,2,0,5,1,2,2,4,1,0,2,9.1
0,20,2,1,2,0,2,1,2,3,4,2,0,1,8.42
1,18,2,1,2,0,2,1,1,3,2,1,0,2,8.2
2,20,2,1,2,0,1,1,4,4,4,2,1,1,8
1,19,2,1,2,0,1,1,1,2,1,0,0,1,7.3
0,20,2,4,2,2,3,1,1,1,3,2,0,0,7.2
1,20,2,1,3,0,2,1,2,2,4,2,2,1,8.2
0,19,1,1,3,1,2,1,1,3,4,1,1,1,8
1,19,1,1,2,0,1,0,1,3,3,0,0,1,9.08
1,20,2,1,2,0,3,1,1,2,4,2,0,0,8
1,21,2,1,3,0,5,1,0,0,0,0,0,1,0
0,20,2,1,3,2,2,1,3,2,5,1,1,1,8.5
1,20,1,1,3,0,2,1,2,4,4,0,1,0,9.7
0,22,1,1,3,0,5,1,1,4,3,0,0,0,9
0,24,1,1,3,2,4,1,4,4,4,2,1,1,8
1,23,1,1,2,0,0,1,1,2,4,0,0,2,9.1
0,21,1,2,3,0,5,0,2,4,3,2,0,2,8
1,22,2,1,3,0,0,1,1,3,3,0,1,1,6.2
